,date,ticker,open,high,low,close
0,2024-06-19T00:00:00.000Z,xauusd,2328.36,2329.77,2328.3,2329.14
1,2024-06-19T00:05:00.000Z,xauusd,2329.01,2329.74,2328.97,2329.47
2,2024-06-19T00:10:00.000Z,xauusd,2329.47,2329.8,2329.23,2329.64
3,2024-06-19T00:15:00.000Z,xauusd,2329.63,2329.92,2329.31,2329.32
4,2024-06-19T00:20:00.000Z,xauusd,2329.33,2329.9,2329.0,2329.22
5,2024-06-19T00:25:00.000Z,xauusd,2329.02,2329.1,2328.23,2328.23
6,2024-06-19T00:30:00.000Z,xauusd,2328.25,2328.69,2328.15,2328.41
7,2024-06-19T00:35:00.000Z,xauusd,2328.4,2329.63,2328.37,2329.17
8,2024-06-19T00:40:00.000Z,xauusd,2329.2,2329.24,2328.93,2328.93
9,2024-06-19T00:45:00.000Z,xauusd,2328.89,2329.69,2328.73,2329.22
10,2024-06-19T00:50:00.000Z,xauusd,2329.23,2329.85,2329.07,2329.57
11,2024-06-19T00:55:00.000Z,xauusd,2329.59,2330.06,2329.32,2329.68
12,2024-06-19T01:00:00.000Z,xauusd,2329.68,2329.91,2328.89,2329.84
13,2024-06-19T01:05:00.000Z,xauusd,2329.85,2329.86,2327.28,2327.48
14,2024-06-19T01:10:00.000Z,xauusd,2327.5,2327.7,2326.55,2327.12
15,2024-06-19T01:15:00.000Z,xauusd,2327.09,2328.09,2327.08,2327.98
16,2024-06-19T01:20:00.000Z,xauusd,2327.98,2327.98,2327.06,2327.07
17,2024-06-19T01:25:00.000Z,xauusd,2327.06,2328.79,2326.73,2328.5
18,2024-06-19T01:30:00.000Z,xauusd,2328.48,2329.24,2328.16,2329.15
19,2024-06-19T01:35:00.000Z,xauusd,2329.19,2329.25,2328.48,2329.06
20,2024-06-19T01:40:00.000Z,xauusd,2329.05,2330.02,2328.65,2329.86
21,2024-06-19T01:45:00.000Z,xauusd,2329.68,2330.81,2329.6,2330.37
22,2024-06-19T01:50:00.000Z,xauusd,2330.32,2330.93,2329.97,2330.6
23,2024-06-19T01:55:00.000Z,xauusd,2330.59,2330.99,2329.88,2330.16
24,2024-06-19T02:00:00.000Z,xauusd,2330.16,2330.48,2329.82,2330.18
25,2024-06-19T02:05:00.000Z,xauusd,2330.18,2330.18,2328.95,2329.37
26,2024-06-19T02:10:00.000Z,xauusd,2329.35,2330.31,2329.24,2329.87
27,2024-06-19T02:15:00.000Z,xauusd,2329.86,2330.22,2329.31,2329.77
28,2024-06-19T02:20:00.000Z,xauusd,2329.78,2331.08,2329.78,2330.49
29,2024-06-19T02:25:00.000Z,xauusd,2330.47,2330.7,2330.34,2330.58
30,2024-06-19T02:30:00.000Z,xauusd,2330.58,2331.02,2330.29,2330.5
31,2024-06-19T02:35:00.000Z,xauusd,2330.55,2330.97,2330.37,2330.65
32,2024-06-19T02:40:00.000Z,xauusd,2330.65,2330.87,2330.39,2330.86
33,2024-06-19T02:45:00.000Z,xauusd,2330.87,2331.36,2330.51,2331.16
34,2024-06-19T02:50:00.000Z,xauusd,2331.15,2331.15,2330.68,2331.05
35,2024-06-19T02:55:00.000Z,xauusd,2331.06,2331.17,2330.2,2330.41
36,2024-06-19T03:00:00.000Z,xauusd,2330.42,2331.43,2330.38,2331.28
37,2024-06-19T03:05:00.000Z,xauusd,2331.3,2331.77,2330.73,2330.91
38,2024-06-19T03:10:00.000Z,xauusd,2330.9,2331.86,2330.32,2331.68
39,2024-06-19T03:15:00.000Z,xauusd,2331.68,2331.7,2330.54,2330.63
40,2024-06-19T03:20:00.000Z,xauusd,2330.68,2330.69,2329.95,2329.96
41,2024-06-19T03:25:00.000Z,xauusd,2329.95,2329.95,2329.2,2329.5
42,2024-06-19T03:30:00.000Z,xauusd,2329.5,2329.59,2328.83,2329.04
43,2024-06-19T03:35:00.000Z,xauusd,2329.04,2329.06,2328.34,2328.59
44,2024-06-19T03:40:00.000Z,xauusd,2328.54,2328.56,2328.32,2328.46
45,2024-06-19T03:45:00.000Z,xauusd,2328.45,2328.45,2328.22,2328.34
46,2024-06-19T03:50:00.000Z,xauusd,2328.37,2328.53,2328.09,2328.2
47,2024-06-19T03:55:00.000Z,xauusd,2328.21,2328.52,2328.03,2328.3
48,2024-06-19T04:00:00.000Z,xauusd,2328.29,2328.29,2327.95,2328.2
49,2024-06-19T04:05:00.000Z,xauusd,2328.2,2328.26,2327.62,2328.26
50,2024-06-19T04:10:00.000Z,xauusd,2328.25,2328.55,2327.96,2327.99
51,2024-06-19T04:15:00.000Z,xauusd,2328.05,2328.24,2327.54,2327.57
52,2024-06-19T04:20:00.000Z,xauusd,2327.58,2327.88,2327.39,2327.84
53,2024-06-19T04:25:00.000Z,xauusd,2327.82,2328.0,2327.76,2327.85
54,2024-06-19T04:30:00.000Z,xauusd,2327.89,2327.96,2327.8,2327.91
55,2024-06-19T04:35:00.000Z,xauusd,2327.9,2328.24,2327.9,2328.23
56,2024-06-19T04:40:00.000Z,xauusd,2328.23,2328.4,2328.16,2328.34
57,2024-06-19T04:45:00.000Z,xauusd,2328.32,2328.57,2328.28,2328.36
58,2024-06-19T04:50:00.000Z,xauusd,2328.34,2328.38,2328.13,2328.26
59,2024-06-19T04:55:00.000Z,xauusd,2328.25,2328.37,2328.09,2328.09
60,2024-06-19T05:00:00.000Z,xauusd,2328.09,2328.1,2327.1,2327.55
61,2024-06-19T05:05:00.000Z,xauusd,2327.6,2328.18,2327.53,2328.07
62,2024-06-19T05:10:00.000Z,xauusd,2328.08,2328.3,2328.03,2328.21
63,2024-06-19T05:15:00.000Z,xauusd,2328.22,2328.65,2328.2,2328.53
64,2024-06-19T05:20:00.000Z,xauusd,2328.56,2328.62,2328.25,2328.43
65,2024-06-19T05:25:00.000Z,xauusd,2328.41,2328.87,2328.25,2328.73
66,2024-06-19T05:30:00.000Z,xauusd,2328.74,2328.74,2327.67,2327.81
67,2024-06-19T05:35:00.000Z,xauusd,2327.82,2327.84,2326.94,2327.72
68,2024-06-19T05:40:00.000Z,xauusd,2327.68,2328.13,2327.5,2327.86
69,2024-06-19T05:45:00.000Z,xauusd,2327.91,2329.37,2327.65,2329.23
70,2024-06-19T05:50:00.000Z,xauusd,2329.24,2329.96,2328.94,2329.96
71,2024-06-19T05:55:00.000Z,xauusd,2330.02,2330.14,2329.15,2329.35
72,2024-06-19T06:00:00.000Z,xauusd,2329.37,2330.26,2329.16,2330.01
73,2024-06-19T06:05:00.000Z,xauusd,2330.01,2330.35,2329.9,2330.14
74,2024-06-19T06:10:00.000Z,xauusd,2330.14,2330.14,2329.32,2329.61
75,2024-06-19T06:15:00.000Z,xauusd,2329.62,2330.29,2329.62,2330.22
76,2024-06-19T06:20:00.000Z,xauusd,2330.12,2330.12,2328.9,2329.34
77,2024-06-19T06:25:00.000Z,xauusd,2329.35,2329.56,2328.56,2329.1
78,2024-06-19T06:30:00.000Z,xauusd,2329.06,2329.23,2328.61,2329.22
79,2024-06-19T06:35:00.000Z,xauusd,2329.22,2329.67,2328.7,2328.83
80,2024-06-19T06:40:00.000Z,xauusd,2328.82,2329.23,2328.73,2328.82
81,2024-06-19T06:45:00.000Z,xauusd,2329.02,2329.63,2329.02,2329.51
82,2024-06-19T06:50:00.000Z,xauusd,2329.5,2329.68,2328.99,2329.65
83,2024-06-19T06:55:00.000Z,xauusd,2329.62,2330.86,2329.62,2330.26
84,2024-06-19T07:00:00.000Z,xauusd,2330.23,2331.5,2330.04,2331.14
85,2024-06-19T07:05:00.000Z,xauusd,2331.21,2332.8,2330.13,2330.21
86,2024-06-19T07:10:00.000Z,xauusd,2330.21,2330.64,2329.86,2330.26
87,2024-06-19T07:15:00.000Z,xauusd,2330.28,2331.5,2329.9,2331.39
88,2024-06-19T07:20:00.000Z,xauusd,2331.4,2332.18,2330.76,2330.76
89,2024-06-19T07:25:00.000Z,xauusd,2330.74,2331.87,2330.7,2331.22
90,2024-06-19T07:30:00.000Z,xauusd,2331.25,2331.75,2330.72,2330.84
91,2024-06-19T07:35:00.000Z,xauusd,2331.09,2331.79,2331.04,2331.79
92,2024-06-19T07:40:00.000Z,xauusd,2331.77,2332.07,2331.12,2331.31
93,2024-06-19T07:45:00.000Z,xauusd,2331.26,2331.36,2330.54,2330.7
94,2024-06-19T07:50:00.000Z,xauusd,2330.6,2331.8,2330.6,2331.65
95,2024-06-19T07:55:00.000Z,xauusd,2331.64,2332.06,2331.51,2331.92
96,2024-06-19T08:00:00.000Z,xauusd,2331.93,2333.61,2331.93,2333.09
97,2024-06-19T08:05:00.000Z,xauusd,2333.06,2334.56,2332.75,2334.26
98,2024-06-19T08:10:00.000Z,xauusd,2334.32,2334.78,2333.88,2334.61
99,2024-06-19T08:15:00.000Z,xauusd,2334.62,2335.1,2333.61,2333.93
100,2024-06-19T08:20:00.000Z,xauusd,2333.92,2334.46,2333.84,2334.29
101,2024-06-19T08:25:00.000Z,xauusd,2334.24,2334.44,2333.55,2333.94
102,2024-06-19T08:30:00.000Z,xauusd,2333.93,2333.93,2333.23,2333.39
103,2024-06-19T08:35:00.000Z,xauusd,2333.38,2333.56,2332.49,2332.63
104,2024-06-19T08:40:00.000Z,xauusd,2332.61,2333.15,2332.33,2332.94
105,2024-06-19T08:45:00.000Z,xauusd,2332.9,2332.94,2332.05,2332.68
106,2024-06-19T08:50:00.000Z,xauusd,2332.67,2332.68,2332.28,2332.66
107,2024-06-19T08:55:00.000Z,xauusd,2332.67,2333.19,2332.44,2332.64
108,2024-06-19T09:00:00.000Z,xauusd,2332.63,2332.85,2331.66,2331.67
109,2024-06-19T09:05:00.000Z,xauusd,2331.67,2331.83,2329.89,2330.01
110,2024-06-19T09:10:00.000Z,xauusd,2330.0,2330.24,2329.31,2330.07
111,2024-06-19T09:15:00.000Z,xauusd,2330.06,2330.78,2329.53,2330.7
112,2024-06-19T09:20:00.000Z,xauusd,2330.68,2330.86,2330.1,2330.11
113,2024-06-19T09:25:00.000Z,xauusd,2330.13,2330.14,2329.5,2329.55
114,2024-06-19T09:30:00.000Z,xauusd,2329.57,2329.73,2328.42,2328.56
115,2024-06-19T09:35:00.000Z,xauusd,2328.73,2328.75,2328.0,2328.14
116,2024-06-19T09:40:00.000Z,xauusd,2328.15,2328.64,2327.79,2327.96
117,2024-06-19T09:45:00.000Z,xauusd,2327.96,2328.84,2327.95,2328.72
118,2024-06-19T09:50:00.000Z,xauusd,2328.73,2329.35,2328.42,2328.85
119,2024-06-19T09:55:00.000Z,xauusd,2328.87,2329.05,2328.16,2328.2
120,2024-06-19T10:00:00.000Z,xauusd,2328.19,2328.32,2327.49,2328.27
121,2024-06-19T10:05:00.000Z,xauusd,2328.25,2328.54,2327.84,2328.39
122,2024-06-19T10:10:00.000Z,xauusd,2328.5,2329.77,2328.38,2329.2
123,2024-06-19T10:15:00.000Z,xauusd,2329.21,2329.95,2329.02,2329.71
124,2024-06-19T10:20:00.000Z,xauusd,2329.01,2329.43,2328.66,2329.06
125,2024-06-19T10:25:00.000Z,xauusd,2329.04,2329.76,2328.66,2328.67
126,2024-06-19T10:30:00.000Z,xauusd,2328.66,2329.48,2328.47,2328.65
127,2024-06-19T10:35:00.000Z,xauusd,2328.6,2329.77,2328.53,2329.11
128,2024-06-19T10:40:00.000Z,xauusd,2329.25,2329.52,2328.62,2328.62
129,2024-06-19T10:45:00.000Z,xauusd,2328.62,2328.99,2328.28,2328.28
130,2024-06-19T10:50:00.000Z,xauusd,2328.25,2328.59,2327.57,2328.13
131,2024-06-19T10:55:00.000Z,xauusd,2328.17,2328.25,2327.68,2328.07
132,2024-06-19T11:00:00.000Z,xauusd,2328.02,2328.04,2326.9,2326.9
133,2024-06-19T11:05:00.000Z,xauusd,2326.89,2327.13,2325.89,2326.4
134,2024-06-19T11:10:00.000Z,xauusd,2326.37,2326.95,2326.04,2326.55
135,2024-06-19T11:15:00.000Z,xauusd,2326.56,2327.51,2326.56,2327.43
136,2024-06-19T11:20:00.000Z,xauusd,2327.45,2327.9,2327.33,2327.85
137,2024-06-19T11:25:00.000Z,xauusd,2327.84,2328.67,2327.83,2328.67
138,2024-06-19T11:30:00.000Z,xauusd,2328.79,2329.42,2328.79,2329.38
139,2024-06-19T11:35:00.000Z,xauusd,2329.44,2330.03,2329.06,2330.03
140,2024-06-19T11:40:00.000Z,xauusd,2330.04,2330.34,2329.02,2329.12
141,2024-06-19T11:45:00.000Z,xauusd,2329.12,2331.0,2329.1,2330.79
142,2024-06-19T11:50:00.000Z,xauusd,2330.8,2331.14,2330.45,2330.95
143,2024-06-19T11:55:00.000Z,xauusd,2330.87,2330.87,2330.33,2330.53
144,2024-06-19T12:00:00.000Z,xauusd,2330.5,2332.97,2330.5,2332.6
145,2024-06-19T12:05:00.000Z,xauusd,2332.61,2332.62,2331.19,2331.19
146,2024-06-19T12:10:00.000Z,xauusd,2331.18,2331.35,2329.5,2329.85
147,2024-06-19T12:15:00.000Z,xauusd,2329.84,2330.56,2329.61,2330.39
148,2024-06-19T12:20:00.000Z,xauusd,2330.48,2330.82,2329.33,2329.37
149,2024-06-19T12:25:00.000Z,xauusd,2329.37,2329.38,2326.7,2327.18
150,2024-06-19T12:30:00.000Z,xauusd,2327.24,2327.38,2326.18,2326.7
151,2024-06-19T12:35:00.000Z,xauusd,2326.68,2327.42,2325.43,2325.43
152,2024-06-19T12:40:00.000Z,xauusd,2325.36,2327.79,2325.36,2327.2
153,2024-06-19T12:45:00.000Z,xauusd,2327.2,2328.68,2327.17,2328.48
154,2024-06-19T12:50:00.000Z,xauusd,2328.5,2329.76,2328.49,2329.23
155,2024-06-19T12:55:00.000Z,xauusd,2329.19,2329.92,2327.74,2328.39
156,2024-06-19T13:00:00.000Z,xauusd,2328.41,2328.47,2326.89,2328.4
157,2024-06-19T13:05:00.000Z,xauusd,2328.39,2329.17,2327.72,2328.29
158,2024-06-19T13:10:00.000Z,xauusd,2328.23,2329.29,2327.82,2329.25
159,2024-06-19T13:15:00.000Z,xauusd,2329.25,2329.27,2328.21,2329.08
160,2024-06-19T13:20:00.000Z,xauusd,2329.11,2330.92,2328.5,2330.84
161,2024-06-19T13:25:00.000Z,xauusd,2330.93,2331.52,2329.37,2329.8
162,2024-06-19T13:30:00.000Z,xauusd,2329.86,2329.98,2329.23,2329.56
163,2024-06-19T13:35:00.000Z,xauusd,2329.52,2329.84,2328.15,2328.49
164,2024-06-19T13:40:00.000Z,xauusd,2328.51,2330.56,2328.27,2329.83
165,2024-06-19T13:45:00.000Z,xauusd,2329.84,2329.88,2328.84,2329.62
166,2024-06-19T13:50:00.000Z,xauusd,2329.59,2330.04,2328.87,2329.12
167,2024-06-19T13:55:00.000Z,xauusd,2329.15,2329.33,2327.99,2328.24
168,2024-06-19T14:00:00.000Z,xauusd,2328.22,2328.43,2323.93,2324.2
169,2024-06-19T14:05:00.000Z,xauusd,2325.27,2326.36,2325.04,2325.94
170,2024-06-19T14:10:00.000Z,xauusd,2325.93,2326.7,2325.81,2326.15
